element,web_name,team,pos,price,xp_total,gws,xp_per_gw,value
545,Sadiki,SUN,MID,5.0,12.57531584185153,6,2.0958859736419218,2.515063168370306
280,Coyle,HUL,DEF,4.0,12.437775866774716,6,2.0729626444624527,3.109443966693679
194,Thomas-Asante,COV,FWD,5.0,12.436091787134593,6,2.0726819645224324,2.4872183574269187
358,Kerkez,LIV,DEF,5.5,12.381551740655205,6,2.0635919567758676,2.2511912255736735
525,Fernandes,TOT,MID,5.9,12.327340087563266,6,2.0545566812605442,2.0893796758581806
201,Muñoz,NFO,DEF,5.4,12.316101687832603,6,2.052683614638767,2.280759571820852
496,Kinsky,TOT,GK,4.5,12.169593475573437,6,2.0282655792622397,2.7043541056829863
151,Acheampong,CHE,DEF,4.5,12.133103835674527,6,2.0221839726124213,2.6962452968165618
553,Isidor,SUN,FWD,5.5,12.06537151138246,6,2.0108952518970766,2.1937039111604473
142,James,CHE,DEF,5.5,11.997184230202125,6,1.9995307050336875,2.1813062236731136
320,Akpom,IPS,FWD,5.0,11.91479907118318,6,1.9857998451971968,2.382959814236636
64,Smith,BOU,DEF,4.5,11.796290703576176,6,1.9660484505960294,2.621397934128039
577,Tomiyasu,CRY,DEF,4.5,11.656103275641847,6,1.9426838792736412,2.5902451723648547
166,N.Jackson,AVL,FWD,6.5,11.612126692953975,6,1.9353544488256624,1.786481029685227
17,Merino,ARS,MID,5.9,11.564735364088952,6,1.9274558940148252,1.960124637981178
108,Wilson,BRE,FWD,5.5,11.479974230295431,6,1.9133290383825718,2.0872680418718965
533,Mukiele,SUN,DEF,5.5,11.440938930417197,6,1.9068231550695327,2.0801707146213086
395,Lewis,MCI,DEF,4.5,11.388876370661485,6,1.8981460617769141,2.530861415702552
462,Steur,NEW,MID,5.0,11.343772148868496,6,1.8906286914780825,2.2687544297736992
211,Yeremy,CRY,MID,5.5,11.336676294607816,6,1.8894460491013028,2.0612138717468755
439,Šeško,MUN,FWD,7.0,11.303668035838076,6,1.8839446726396794,1.6148097194054394
371,Gravenberch,LIV,MID,6.0,11.233844725503973,6,1.8723074542506621,1.8723074542506621
372,Mac Allister,LIV,MID,5.5,11.096327857488228,6,1.849387976248038,2.0175141559069507
350,A.Becker,LIV,GK,5.5,10.948506135519715,6,1.824751022586619,1.9906374791854027
460,Willock,NEW,MID,5.0,10.943790604957886,6,1.8239651008263145,2.188758120991577
563,Morita,HUL,MID,5.0,10.92831408603912,6,1.8213856810065199,2.185662817207824
186,Mason-Clark,COV,MID,5.4,10.9112634240182,6,1.8185439040030333,2.020604337781148
247,Hackney,EVE,MID,5.5,10.696401435069859,6,1.782733572511643,1.9448002609217925
14,Eze,ARS,MID,6.4,10.401524420369064,6,1.733587403394844,1.6252381906826663
241,McNeil,CRY,MID,5.5,10.300909696383716,6,1.7168182827306193,1.8728926720697665
195,Simms,COV,FWD,5.0,10.164505803859821,6,1.6940843006433035,2.0329011607719645
621,McAidoo,MCI,MID,4.5,10.126701927320692,6,1.6877836545534486,2.250378206071265
222,Strand Larsen,CRY,FWD,6.0,10.12467284883714,6,1.68744547480619,1.68744547480619
616,Bouaddi,MCI,MID,5.5,10.02933622510916,6,1.6715560375181935,1.8235156772925747
617,Cho,HUL,MID,5.0,9.919953778701153,6,1.6533256297835255,1.9839907557402305
422,Mazraoui,MUN,DEF,4.5,9.851499979150155,6,1.6419166631916926,2.1892222175889233
113,F.Kadıoğlu,BHA,DEF,4.4,9.816527965108058,6,1.6360879941846764,2.231029082979104
269,Sessegnon,FUL,DEF,4.5,9.730032231001562,6,1.6216720385002603,2.1622293846670138
637,Vaz,HUL,FWD,5.0,9.588545123891423,6,1.5980908539819039,1.9177090247782846
632,Ansah,HUL,FWD,5.0,9.588545123891423,6,1.5980908539819039,1.9177090247782846
239,Garner,EVE,MID,6.0,9.552365859097009,6,1.5920609765161682,1.5920609765161682
619,Palacios,IPS,MID,5.0,9.55199921966873,6,1.5919998699447884,1.910399843933746
499,Pedro Porro,TOT,DEF,5.5,9.524608804581394,6,1.5874348007635657,1.7317470553784353
42,Guessand,CRY,MID,5.5,9.383703565732741,6,1.5639505942887901,1.7061279210423166
